incident_id,title,domain,domain_detail,date_start,date_end,incident_scope,observation_boundary,harm_primary,harm_secondary,outcome_class,system_type,era,agentic,ai_causal_contribution,attributed_primary_cause,incident_confidence,n_safeguards,dataset_version
2023-cruise-drag-sf,Cruise robotaxi drags pedestrian after collision (San Francisco),autonomous-vehicle,,2023-10-02,2023-10-02,discrete-event,,physical-safety,,realized-harm,confirmed-ML,legacy,0,major-contributor,multiple,high,8,v1.0
2015-2020-au-robodebt,Robodebt automated welfare-debt scheme (Australia),government-benefits,,2016,2020,systemic-program,"Online Compliance Intervention income-averaging debt-raising, ~2016 rollout to 2020 wind-down; excludes unrelated Centrelink compliance.",financial-loss,psychological-social,realized-harm,algorithmic-nonML,legacy,0,major-contributor,organizational,high,8,v1.0
2013-2019-optum-impact-pro,Cost-as-proxy racial bias in a health risk-prediction algorithm (Optum/Impact Pro),healthcare-clinical,,2013,2019,systemic-program,The commercial cost-based care-management risk-prediction algorithm studied by Obermeyer et al. (2019); label-choice bias and triage use; excludes other vendor products.,rights-discrimination,physical-safety,realized-harm,probable-ML,legacy,0,major-contributor,organizational,high,7,v1.0
2022-air-canada-chatbot,Air Canada support chatbot asserts non-existent refund policy,consumer-chatbot,,2022-11-11,2022-11-11,discrete-event,,financial-loss,,realized-harm,probable-ML,genai,0,major-contributor,organizational,high,7,v1.0
2025-gemini-cli-file-destruction,Gemini CLI coding agent destroys user files on hallucinated state,enterprise-agent,,2025-07,2025-07,discrete-event,,security-compromise,,realized-harm,confirmed-ML,genai,1,major-contributor,AI-system,medium,6,v1.0
2018-2019-boeing-737max-mcas,"Boeing 737 MAX MCAS crashes (Lion Air 610, Ethiopian 302)",other,aviation,2018-10-29,2019-03-10,bounded-episode,The MCAS design/certification failure and the two 737 MAX accidents plus the between-crash period; excludes broader 737 MAX issues unrelated to MCAS.,physical-safety,,realized-harm,algorithmic-nonML,legacy,0,major-contributor,multiple,high,9,v1.0
2013-2021-nl-toeslagen,Dutch childcare benefits scandal (Toeslagenaffaire) risk-classification system,government-benefits,,2013,2021,systemic-program,The childcare-benefit fraud risk-classification system and its safeguards (~2013-2020) and resulting harms; excludes the separate FSV blacklist.,rights-discrimination,financial-loss;psychological-social,realized-harm,probable-ML,legacy,0,major-contributor,organizational,medium,9,v1.0
2020-williams-detroit-facerec,Wrongful arrest of Robert Williams after a false facial-recognition match,criminal-justice,,2020-01-09,2020-01-09,discrete-event,,rights-discrimination,psychological-social,realized-harm,confirmed-ML,legacy,0,major-contributor,organizational,high,8,v1.0
2023-mata-avianca-chatgpt,Lawyers file ChatGPT-fabricated case citations (Mata v. Avianca),other,legal,2023-03,2023-06-22,discrete-event,,information-integrity,,realized-harm,confirmed-ML,genai,0,major-contributor,human-operator,high,6,v1.0
2025-echoleak-m365-copilot,EchoLeak zero-click prompt-injection data exfiltration in M365 Copilot,security-cyber,,2025,2025-06,discrete-event,,privacy-data,,near-miss,confirmed-ML,genai,1,major-contributor,AI-system,medium,7,v1.0
