incident_id,domain,system_type,era,outcome,scope,ai_causal_contribution,confidence,n_safeguards
2023-cruise-drag-sf,autonomous-vehicle,confirmed-ML,legacy,realized-harm,discrete-event,major-contributor,high,8
2015-2020-au-robodebt,government-benefits,algorithmic-nonML,legacy,realized-harm,systemic-program,major-contributor,high,8
2013-2019-optum-impact-pro,healthcare-clinical,probable-ML,legacy,realized-harm,systemic-program,major-contributor,high,7
2022-air-canada-chatbot,consumer-chatbot,probable-ML,genai,realized-harm,discrete-event,major-contributor,high,7
2025-gemini-cli-file-destruction,enterprise-agent,confirmed-ML,genai,realized-harm,discrete-event,major-contributor,medium,6
2018-2019-boeing-737max-mcas,other,algorithmic-nonML,legacy,realized-harm,bounded-episode,major-contributor,high,9
2013-2021-nl-toeslagen,government-benefits,probable-ML,legacy,realized-harm,systemic-program,major-contributor,medium,9
2020-williams-detroit-facerec,criminal-justice,confirmed-ML,legacy,realized-harm,discrete-event,major-contributor,high,8
2023-mata-avianca-chatgpt,other,confirmed-ML,genai,realized-harm,discrete-event,major-contributor,high,6
2025-echoleak-m365-copilot,security-cyber,confirmed-ML,genai,near-miss,discrete-event,major-contributor,medium,7
2016-tesla-autopilot-williston,autonomous-vehicle,confirmed-ML,legacy,realized-harm,discrete-event,major-contributor,high,6
2016-compas-recidivism,criminal-justice,algorithmic-nonML,legacy,realized-harm,systemic-program,disputed,medium,6
2016-microsoft-tay,consumer-chatbot,confirmed-ML,legacy,realized-harm,discrete-event,major-contributor,high,6
2020-clearview-ai-scraping,security-cyber,confirmed-ML,legacy,realized-harm,systemic-program,major-contributor,high,7
2020-uk-ofqual-alevel,education,algorithmic-nonML,legacy,realized-harm,bounded-episode,major-contributor,high,7
2013-2015-us-mi-midas,government-benefits,algorithmic-nonML,legacy,realized-harm,systemic-program,major-contributor,high,8
2024-2025-raine-openai,consumer-chatbot,confirmed-ML,genai,realized-harm,discrete-event,disputed,low,6
2021-facebook-files-instagram,content-moderation,confirmed-ML,legacy,realized-harm,systemic-program,contributory-non-necessary,medium,6
2015-vw-dieselgate,environmental,algorithmic-nonML,legacy,realized-harm,systemic-program,major-contributor,high,7
2020-pulse-oximeter-bias,healthcare-clinical,algorithmic-nonML,legacy,realized-harm,systemic-program,major-contributor,high,5
2010-flash-crash,finance-trading,algorithmic-nonML,legacy,realized-harm,discrete-event,major-contributor,high,8
2021-zillow-offers,finance-trading,probable-ML,legacy,realized-harm,discrete-event,major-contributor,high,6
2018-ibm-watson-oncology,healthcare-clinical,confirmed-ML,legacy,realized-harm,systemic-program,major-contributor,medium,7
2023-2025-mobley-workday,hiring-HR,probable-ML,genai,realized-harm,systemic-program,disputed,low,6
2024-gemini-image-generation,content-moderation,confirmed-ML,genai,realized-harm,discrete-event,major-contributor,high,7
2018-tesla-autopilot-mountain-view,autonomous-vehicle,confirmed-ML,legacy,realized-harm,discrete-event,major-contributor,high,7
2023-tesla-autopilot-recall,autonomous-vehicle,confirmed-ML,legacy,realized-harm,systemic-program,major-contributor,high,4
2017-2021-rotterdam-welfare,government-benefits,confirmed-ML,legacy,realized-harm,systemic-program,major-contributor,high,7
2014-erater-babel-aes,education,confirmed-ML,legacy,realized-harm,systemic-program,major-contributor,high,5
2025-amazon-q-injection,security-cyber,confirmed-ML,genai,near-miss,discrete-event,major-contributor,medium,6
