relationship_id,incident_id,from_interaction,to_interaction,relationship_type,relationship_confidence
2023-cruise-drag-sf::R1,2023-cruise-drag-sf,2023-cruise-drag-sf::S3,2023-cruise-drag-sf::S4,enabling,medium
2023-cruise-drag-sf::R2,2023-cruise-drag-sf,2023-cruise-drag-sf::S6,2023-cruise-drag-sf::S7,masking,high
2023-cruise-drag-sf::R3,2023-cruise-drag-sf,2023-cruise-drag-sf::S1,2023-cruise-drag-sf::S3,temporal-precedence,high
2015-2020-au-robodebt::R4,2015-2020-au-robodebt,2015-2020-au-robodebt::S2,2015-2020-au-robodebt::S1,enabling,medium
2015-2020-au-robodebt::R5,2015-2020-au-robodebt,2015-2020-au-robodebt::S3,2015-2020-au-robodebt::S5,enabling,medium
2015-2020-au-robodebt::R6,2015-2020-au-robodebt,2015-2020-au-robodebt::S7,2015-2020-au-robodebt::S8,masking,medium
2013-2019-optum-impact-pro::R7,2013-2019-optum-impact-pro,2013-2019-optum-impact-pro::S1,2013-2019-optum-impact-pro::S3,enabling,medium
2013-2019-optum-impact-pro::R8,2013-2019-optum-impact-pro,2013-2019-optum-impact-pro::S2,2013-2019-optum-impact-pro::S4,common-cause,medium
2013-2019-optum-impact-pro::R9,2013-2019-optum-impact-pro,2013-2019-optum-impact-pro::S1,2013-2019-optum-impact-pro::S5,temporal-precedence,high
2022-air-canada-chatbot::R10,2022-air-canada-chatbot,2022-air-canada-chatbot::S1,2022-air-canada-chatbot::S4,temporal-precedence,low
2022-air-canada-chatbot::R11,2022-air-canada-chatbot,2022-air-canada-chatbot::S2,2022-air-canada-chatbot::S1,temporal-precedence,low
2022-air-canada-chatbot::R12,2022-air-canada-chatbot,2022-air-canada-chatbot::S6,2022-air-canada-chatbot::S7,temporal-precedence,high
2025-gemini-cli-file-destruction::R13,2025-gemini-cli-file-destruction,2025-gemini-cli-file-destruction::S1,2025-gemini-cli-file-destruction::S6,enabling,medium
2025-gemini-cli-file-destruction::R14,2025-gemini-cli-file-destruction,2025-gemini-cli-file-destruction::S1,2025-gemini-cli-file-destruction::S3,temporal-precedence,low
2025-gemini-cli-file-destruction::R15,2025-gemini-cli-file-destruction,2025-gemini-cli-file-destruction::S4,2025-gemini-cli-file-destruction::S5,common-cause,low
2018-2019-boeing-737max-mcas::R16,2018-2019-boeing-737max-mcas,2018-2019-boeing-737max-mcas::S6,2018-2019-boeing-737max-mcas::S2,enabling,high
2018-2019-boeing-737max-mcas::R17,2018-2019-boeing-737max-mcas,2018-2019-boeing-737max-mcas::S2,2018-2019-boeing-737max-mcas::S1,enabling,high
2018-2019-boeing-737max-mcas::R18,2018-2019-boeing-737max-mcas,2018-2019-boeing-737max-mcas::S4,2018-2019-boeing-737max-mcas::S5,enabling,high
2018-2019-boeing-737max-mcas::R19,2018-2019-boeing-737max-mcas,2018-2019-boeing-737max-mcas::S3,2018-2019-boeing-737max-mcas::S5,masking,medium
2018-2019-boeing-737max-mcas::R20,2018-2019-boeing-737max-mcas,2018-2019-boeing-737max-mcas::S8,2018-2019-boeing-737max-mcas::S1,enabling,medium
2013-2021-nl-toeslagen::R21,2013-2021-nl-toeslagen,2013-2021-nl-toeslagen::S3,2013-2021-nl-toeslagen::S4,enabling,high
2013-2021-nl-toeslagen::R22,2013-2021-nl-toeslagen,2013-2021-nl-toeslagen::S2,2013-2021-nl-toeslagen::S4,enabling,medium
2013-2021-nl-toeslagen::R23,2013-2021-nl-toeslagen,2013-2021-nl-toeslagen::S1,2013-2021-nl-toeslagen::S2,enabling,medium
2013-2021-nl-toeslagen::R24,2013-2021-nl-toeslagen,2013-2021-nl-toeslagen::S7,2013-2021-nl-toeslagen::S8,masking,medium
2020-williams-detroit-facerec::R25,2020-williams-detroit-facerec,2020-williams-detroit-facerec::S1,2020-williams-detroit-facerec::S2,enabling,high
2020-williams-detroit-facerec::R26,2020-williams-detroit-facerec,2020-williams-detroit-facerec::S4,2020-williams-detroit-facerec::S1,enabling,medium
2020-williams-detroit-facerec::R27,2020-williams-detroit-facerec,2020-williams-detroit-facerec::S3,2020-williams-detroit-facerec::S6,enabling,medium
2023-mata-avianca-chatgpt::R28,2023-mata-avianca-chatgpt,2023-mata-avianca-chatgpt::S1,2023-mata-avianca-chatgpt::S2,common-cause,medium
2023-mata-avianca-chatgpt::R29,2023-mata-avianca-chatgpt,2023-mata-avianca-chatgpt::S1,2023-mata-avianca-chatgpt::S4,temporal-precedence,high
2025-echoleak-m365-copilot::R30,2025-echoleak-m365-copilot,2025-echoleak-m365-copilot::S1,2025-echoleak-m365-copilot::S2,enabling,medium
2025-echoleak-m365-copilot::R31,2025-echoleak-m365-copilot,2025-echoleak-m365-copilot::S3,2025-echoleak-m365-copilot::S4,enabling,medium
2025-echoleak-m365-copilot::R32,2025-echoleak-m365-copilot,2025-echoleak-m365-copilot::S2,2025-echoleak-m365-copilot::S5,enabling,low
