source_id,incident_id,url,source_type,label
2023-cruise-drag-sf::SRC1,2023-cruise-drag-sf,https://www.justice.gov/usao-ndca/pr/cruise-admits-submitting-false-report-influence-federal-investigation-and-agrees-pay,primary,US DOJ deferred-prosecution announcement
2023-cruise-drag-sf::SRC2,2023-cruise-drag-sf,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23E086-7725.PDF,primary,NHTSA recall 23E-086
2015-2020-au-robodebt::SRC3,2015-2020-au-robodebt,https://robodebt.royalcommission.gov.au/publications/report,primary,Royal Commission into the Robodebt Scheme final report
2015-2020-au-robodebt::SRC4,2015-2020-au-robodebt,https://www.legalaid.vic.gov.au/explainer-deanna-amatos-robo-debt-case,primary,Amato v Commonwealth (unlawfulness concession)
2013-2019-optum-impact-pro::SRC5,2013-2019-optum-impact-pro,https://www.science.org/doi/10.1126/science.aax2342,primary,"Obermeyer et al., Science 2019"
2013-2019-optum-impact-pro::SRC6,2013-2019-optum-impact-pro,https://www.dfs.ny.gov/reports-and-publications/comment-letters/dfs-doh-joint-letter-uhgi-20191025,primary,NY DFS/DoH inquiry letter
2022-air-canada-chatbot::SRC7,2022-air-canada-chatbot,https://www.canlii.org/en/bc/bccrt/doc/2024/2024bccrt149/2024bccrt149.html,primary,"Moffatt v. Air Canada, 2024 BCCRT 149"
2025-gemini-cli-file-destruction::SRC8,2025-gemini-cli-file-destruction,https://github.com/google-gemini/gemini-cli/issues/4586,primary,GitHub issue #4586 (user report)
2025-gemini-cli-file-destruction::SRC9,2025-gemini-cli-file-destruction,https://incidentdatabase.ai/cite/1178/,secondary,AI Incident Database #1178
2018-2019-boeing-737max-mcas::SRC10,2018-2019-boeing-737max-mcas,https://democrats-transportation.house.gov/imo/media/doc/final_boeing_737_max_report1.pdf,primary,US House T&I Committee final report (2020)
2018-2019-boeing-737max-mcas::SRC11,2018-2019-boeing-737max-mcas,https://www.justice.gov/opa/pr/boeing-charged-737-max-fraud-conspiracy-and-agrees-pay-over-25-billion,primary,US DOJ deferred-prosecution (2021)
2013-2021-nl-toeslagen::SRC12,2013-2021-nl-toeslagen,https://www.amnesty.org/en/documents/eur35/4686/2021/en/,primary,"Amnesty International, Xenophobic Machines (2021)"
2013-2021-nl-toeslagen::SRC13,2013-2021-nl-toeslagen,https://autoriteitpersoonsgegevens.nl/uploads/imported/boetebesluit_belastingdienst.pdf,primary,Autoriteit Persoonsgegevens fine decision
