interaction_id,incident_id,local_sid,name,system_layer,primary_function,secondary_functions,observed_state,inadequacy_type,suspected_absent,timeliness,evidentiary_basis,evidence_status,causal_role,existence_timing,confidence,control_group
2023-cruise-drag-sf::S1,2023-cruise-drag-sf,S1,Perception / pedestrian avoidance at impact,application,preventive,,Failed,,0,too-late,post-incident-finding;direct-artifact,confirmed-authoritative,contributing,incident-time,medium,
2023-cruise-drag-sf::S2,2023-cruise-drag-sf,S2,Emergency hard-braking,application,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,mitigating,incident-time,medium,
2023-cruise-drag-sf::S3,2023-cruise-drag-sf,S3,Post-collision decision logic (collision classification),application,containment,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2023-cruise-drag-sf::S4,2023-cruise-drag-sf,S4,Do-not-move-with-person-underneath occupancy stop,application,containment,,Absent,,0,not-applicable,comparable-system;post-incident-finding,confirmed-authoritative,primary,incident-time,medium,
2023-cruise-drag-sf::S5,2023-cruise-drag-sf,S5,Remote-assistance human oversight,human-operator,detective,,Bypassed,,0,too-late,post-incident-finding,confirmed-authoritative,contributing,incident-time,low,
2023-cruise-drag-sf::S6,2023-cruise-drag-sf,S6,Organizational honest disclosure to regulators,organizational-process,assurance-governance,,Failed,,0,too-late,post-incident-finding;direct-artifact,confirmed-authoritative,aggravating,incident-time,high,
2023-cruise-drag-sf::S7,2023-cruise-drag-sf,S7,External regulatory oversight (DMV/NHTSA/CPUC/DOJ),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2023-cruise-drag-sf::S8,2023-cruise-drag-sf,S8,Software fix: collision-classification remains stationary,application,containment,,Working,,0,in-time,direct-artifact,confirmed-authoritative,not-causally-relevant,added-after,high,
2015-2020-au-robodebt::S1,2015-2020-au-robodebt,S1,Correct calculation on actual fortnightly income,application,preventive,,Absent,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2015-2020-au-robodebt::S2,2015-2020-au-robodebt,S2,Legality / lawful-basis check (internal legal advice),organizational-process,preventive,,Disabled,,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2015-2020-au-robodebt::S3,2015-2020-au-robodebt,S3,Human officer verification before debt-raising (incl. burden-of-proof on government),human-operator,preventive,,Disabled,,0,not-applicable,regulation-policy;post-incident-finding,confirmed-authoritative,primary,incident-time,high,
2015-2020-au-robodebt::S5,2015-2020-au-robodebt,S5,Recipient challenge / appeal mechanism,human-operator,recovery,,Inadequate,operation,0,too-late,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2015-2020-au-robodebt::S6,2015-2020-au-robodebt,S6,Internal governance: heed warnings / AAT rulings,organizational-process,detective,,Failed,,0,too-late,post-incident-finding,confirmed-authoritative,contributing,incident-time,high,
2015-2020-au-robodebt::S7,2015-2020-au-robodebt,S7,External oversight: Commonwealth Ombudsman,external-ecosystem,detective,,Bypassed,,0,delayed,post-incident-finding,confirmed-authoritative,contributing,incident-time,medium,
2015-2020-au-robodebt::S8,2015-2020-au-robodebt,S8,External oversight: courts (Amato / Prygodicz),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2015-2020-au-robodebt::S9,2015-2020-au-robodebt,S9,External oversight: Royal Commission,external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2013-2019-optum-impact-pro::S1,2013-2019-optum-impact-pro,S1,Target-label validation (does cost equal need?),model,preventive,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,primary,incident-time,medium,
2013-2019-optum-impact-pro::S2,2013-2019-optum-impact-pro,S2,Pre-deployment subgroup (racial) fairness audit,organizational-process,detective,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,medium,
2013-2019-optum-impact-pro::S3,2013-2019-optum-impact-pro,S3,Human clinical oversight / override in enrollment,human-operator,detective,,Inadequate,design,0,not-applicable,post-incident-finding,confirmed-authoritative,contributing,incident-time,medium,
2013-2019-optum-impact-pro::S4,2013-2019-optum-impact-pro,S4,Deployment bias monitoring (internal),organizational-process,detective,,Absent,,0,not-applicable,post-incident-finding,confirmed-authoritative,latent-condition,incident-time,medium,
2013-2019-optum-impact-pro::S5,2013-2019-optum-impact-pro,S5,External research scrutiny (detection),external-ecosystem,detective,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,high,
2013-2019-optum-impact-pro::S6,2013-2019-optum-impact-pro,S6,External regulatory oversight (NY DFS/DoH),external-ecosystem,recovery,,Working,,0,too-late,direct-artifact,confirmed-authoritative,mitigating,incident-time,medium,
2013-2019-optum-impact-pro::S7,2013-2019-optum-impact-pro,S7,Vendor remediation: retrain on blended target,model,recovery,,Working,,0,in-time,post-incident-finding,confirmed-authoritative,not-causally-relevant,added-after,medium,
2022-air-canada-chatbot::S1,2022-air-canada-chatbot,S1,Output grounding / verification vs real policy,application,preventive,,Unknown,,1,not-applicable,inferred-indirect,inferred-indirect,primary,incident-time,low,
